NAME(Used only as reminder for value);VALUE;LABEL
OdBm::BuiltInCategory::OST_StructuralConnectionHandler_Deprecated;-2000978;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_HiddenStructuralConnectionLines_Deprecated;-2000979;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_MajorStations_Deprecated;-2001013;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_MinorStations_Deprecated;-2001014;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_StructuralConnectionHandlerTags_Deprecated;-2005031;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_BridgeTowerHiddenLines2021_Deprecated;-2006152;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_BridgeCableHiddenLines2021_Deprecated;-2006153;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_BridgeArchHiddenLines2021_Deprecated;-2006154;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_BridgeFoundationHiddenLines2021_Deprecated;-2006156;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_BridgeGirderHiddenLines2021_Deprecated;-2006157;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_BridgeArchTags2021_Deprecated;-2006174;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_BridgeGirderTags2021_Deprecated;-2006177;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_Stairs2012HiddenLines_Deprecated;-2009533;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_StairRun2012HiddenLines_Deprecated;-2009534;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_StairLanding2012HiddenLines_Deprecated;-2009535;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_StairTread2012HiddenLines_Deprecated;-2009536;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_StairStringer2012HiddenLines_Deprecated;-2009537;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_RailingSystemHiddenLines_Deprecated;-2009538;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_RailingSystemSegmentHiddenLines_Deprecated;-2009539;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_RailingSystemPostHiddenLines_Deprecated;-2009540;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_RailingSystemBalusterHiddenLines_Deprecated;-2009541;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_RailingSystemPanelHiddenLines_Deprecated;-2009542;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_RailingSystemPanelBracketHiddenLines_Deprecated;-2009543;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_RailingSystemHandRailHiddenLines_Deprecated;-2009544;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_RailingSystemHandRailBracketHiddenLines_Deprecated;-2009545;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_RailingSystemTopRailHiddenLines_Deprecated;-2009546;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_RailingSystemRailHiddenLines_Deprecated;-2009547;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_RailingSystemTerminationHiddenLines_Deprecated;-2009548;ODBM_CSV_NULL
OdBm::BuiltInCategory::OST_RailingSystemTransitionHiddenLines_Deprecated;-2009549;ODBM_CSV_NULL
