NAME(Used only as reminder for value);VALUE;LABEL
OdBm::FamilyName::RbsHvacSystemType;141;Duct System
OdBm::FamilyName::RbsPipeConnectionType;142;Pipe Connection Types
OdBm::FamilyName::RbsPipeInsulationType;143;Pipe Insulation
OdBm::FamilyName::RbsPipeMaterialType;144;Pipe Material Types
OdBm::FamilyName::RbsPipeScheduleType;145;Pipe Schedule Types
OdBm::FamilyName::RbsPipingSystemType;146;Piping System
OdBm::FamilyName::RbsVoltageType;147;Voltage Types
OdBm::FamilyName::RbsWireInsulationType;148;Wire Insulation Types
OdBm::FamilyName::RbsWireMaterialType;149;Wire Material Types
OdBm::FamilyName::RbsWireTemperatureRatingType;150;Wire Temperature Rating Types
OdBm::FamilyName::RbsWireType;151;Wire Types
OdBm::FamilyName::RebarContainerType;152;Structural Rebar Container
OdBm::FamilyName::RebarHookType;153;Rebar Hook
OdBm::FamilyName::RebarInSystem;154;
OdBm::FamilyName::ReferenceViewerAttributes;155;View Reference
OdBm::FamilyName::RepeatingDetailAttributes;156;Repeating Detail
OdBm::FamilyName::RevealAttr;157;Reveal
OdBm::FamilyName::RevisionCloudAttr;158;Revision Clouds
OdBm::FamilyName::RvtLinkSymbol;159;Linked Revit Model
OdBm::FamilyName::SegmentCenterLine;160;Pipe Types
OdBm::FamilyName::SharedSymbol;161;Fabric Sheet
OdBm::FamilyName::SlaveImportSymbol;162;Import Symbol
OdBm::FamilyName::SpotElevationStyle_Elevations;163;Spot Elevations
OdBm::FamilyName::StairsAttributes;164;Stair
OdBm::FamilyName::StairsLanding;165;
OdBm::FamilyName::StairsLandingType_Monolithic;166;Monolithic Landing
OdBm::FamilyName::StairsSupportType_Stringer;167;Stringer
OdBm::FamilyName::StructuralConnectionHandlerType;168;Grundplatte Rohr
OdBm::FamilyName::Text3dAttrSymbol;169;Model Text
OdBm::FamilyName::TilePatternType_NoPattern;170;_No Pattern
OdBm::FamilyName::ViewportAttributes;171;Viewport
OdBm::FamilyName::ConceptualConstructionType_Roof;172;Mass Roof
OdBm::FamilyName::RbsCableTrayTypeWithoutFittings;173;Cable Tray without Fittings
OdBm::FamilyName::RbsConduitTypeWithoutFittings;174;Conduit without Fittings
OdBm::FamilyName::TilePatternType_Rectangle;175;Rectangle
OdBm::FamilyName::StairsSupportType_Carriage;176;Carriage
OdBm::FamilyName::BrowserOrganization_Sheets;177;Browser - Sheets
OdBm::FamilyName::AssemblyType_Doors;178;Doors Assembly
OdBm::FamilyName::TilePatternType_Triangle;179;Triangle (bent)
OdBm::FamilyName::TilePatternType_Rhomboid;180;Rhomboid
OdBm::FamilyName::TilePatternType_Hexagon;181;Hexagon
OdBm::FamilyName::TilePatternType_HalfStep;182;1/2 Step
OdBm::FamilyName::TilePatternType_ThirdStep;183;1/3 Step
OdBm::FamilyName::TilePatternType_TriangleCBBent;184;Triangle Checkerboard (bent)
OdBm::FamilyName::TilePatternType_RectangleCB;185;Rectangle Checkerboard
OdBm::FamilyName::TilePatternType_RhomboidCB;186;Rhomboid Checkerboard
OdBm::FamilyName::TilePatternType_TriangleStepBent;187;Triangle Step (bent)
OdBm::FamilyName::TilePatternType_Arrows;188;Arrows
OdBm::FamilyName::TilePatternType_ZigZag;189;Zig Zag
OdBm::FamilyName::TilePatternType_Octagon;190;Octagon
OdBm::FamilyName::TilePatternType_OctagonRotate;191;Octagon Rotate
OdBm::FamilyName::TilePatternType_TriangleFlat;192;Triangle (flat)
OdBm::FamilyName::TilePatternType_TriangleCBFlat;193;Triangle Checkerboard (flat)
OdBm::FamilyName::DimensionStyle_Angular;194;Angular Dimension Style
OdBm::FamilyName::DimensionStyle_Radial;195;Radial Dimension Style
OdBm::FamilyName::DimensionStyle_ArcLength;196;ArcLength Dimension Style
OdBm::FamilyName::DimensionStyle_SpotElevation;197;SpotElevation Dimension Style
OdBm::FamilyName::DimensionStyle_SpotCoordinate;198;SpotCoordinate Dimension Style
OdBm::FamilyName::DimensionStyle_LinearFixed;199;LinearFixed Dimension Style
OdBm::FamilyName::DimensionStyle_SpotSlope;200;SpotSlope Dimension Style
OdBm::FamilyName::DimensionStyle_Diameter;201;Diameter Dimension Style
OdBm::FamilyName::SpotElevationStyle_Coordinates;202;Spot Coordinates
OdBm::FamilyName::SpotElevationStyle_Slope;203;Spot Slopes
OdBm::FamilyName::SpotElevationStyle_Alignment;204;Alignment Station Labels
OdBm::FamilyName::AbsFlexDuctType_Round;205;Flex Duct Round
OdBm::FamilyName::AbsFlexDuctType_Oval;206;Flex Duct Oval
OdBm::FamilyName::AbsFlexDuctType_Square;207;Flex Duct Square
OdBm::FamilyName::StairsLandingType_NonMonolithic;208;Non-Monolithic Landing
