NAME(Used only as reminder for value);VALUE;LABEL
OdBm::BuiltInParameter::RBS_ELEC_PANEL_CURRENT_PHASEB_PARAM;-1140165;Current Phase B
OdBm::BuiltInParameter::RBS_ELEC_PANEL_CURRENT_PHASEC_PARAM;-1140166;Current Phase C
OdBm::BuiltInParameter::TEMPLATE_NAME;-1140167;Template
OdBm::BuiltInParameter::PANEL_SCHEDULE_NAME;-1140168;Panel Schedule Name
OdBm::BuiltInParameter::RBS_ELEC_PANEL_LOCATION_PARAM;-1140169;Location
OdBm::BuiltInParameter::RBS_ELEC_PANEL_CONFIGURATION_PARAM;-1140170;Panel Configuration
OdBm::BuiltInParameter::CONNECTOR_JOINT_TYPE;-1140171;Connector Joint Type
OdBm::BuiltInParameter::CONNECTOR_GENDER_TYPE;-1140172;Connector Gender Type
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_START_SLOT;-1140173;Start Slot
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_PATH_MODE_PARAM;-1140174;Path Mode
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_PATH_OFFSET_PARAM;-1140175;Offset
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_CONNECTION_TYPE_PARAM;-1140176;Connection Type
OdBm::BuiltInParameter::CIRCUIT_PHASE_PARAM;-1140178;Phase Label
OdBm::BuiltInParameter::CIRCUIT_LOAD_CLASSIFICATION_ABBREVIATION_PARAM;-1140179;Load Classification Abbreviation
OdBm::BuiltInParameter::CIRCUIT_WAYS_PARAM;-1140180;Ways
OdBm::BuiltInParameter::RBS_ELEC_CIRCUIT_SLOT_INDEX;-1140181;Slot Index
OdBm::BuiltInParameter::RBS_PIPE_CLASS_PARAM;-1140200;Schedule/Type
OdBm::BuiltInParameter::RBS_PIPE_CONNECTIONTYPE_PARAM;-1140201;Connection Type
OdBm::BuiltInParameter::RBS_PIPE_MATERIAL_PARAM;-1140202;Material
OdBm::BuiltInParameter::RBS_PIPE_ROUGHNESS_PARAM;-1140204;Roughness
OdBm::BuiltInParameter::RBS_PIPE_PRESSUREDROP_PARAM;-1140205;Pressure Drop
OdBm::BuiltInParameter::RBS_PIPE_FRICTION_PARAM;-1140206;Friction
OdBm::BuiltInParameter::RBS_PIPE_VELOCITY_PARAM;-1140207;Velocity
OdBm::BuiltInParameter::RBS_PIPE_FRICTION_FACTOR_PARAM;-1140208;Friction Factor
OdBm::BuiltInParameter::RBS_PIPE_FLOW_STATE_PARAM;-1140209;Flow State
OdBm::BuiltInParameter::RBS_PIPE_RELATIVE_ROUGHNESS_PARAM;-1140210;Relative Roughness
OdBm::BuiltInParameter::RBS_PIPE_REYNOLDS_NUMBER_PARAM;-1140211;Reynolds Number
OdBm::BuiltInParameter::RBS_PIPE_INNER_DIAM_PARAM;-1140212;Inside Diameter
OdBm::BuiltInParameter::RBS_PIPE_FLOW_PARAM;-1140213;Flow
OdBm::BuiltInParameter::RBS_PIPE_FLUID_DENSITY_PARAM;-1140214;Fluid Density
OdBm::BuiltInParameter::RBS_PIPE_FLUID_VISCOSITY_PARAM;-1140215;Fluid Dynamic Viscosity
OdBm::BuiltInParameter::RBS_PIPE_FLUID_TEMPERATURE_PARAM;-1140217;Fluid Temperature
OdBm::BuiltInParameter::RBS_PIPE_FLUID_TYPE_PARAM;-1140218;Fluid Type
OdBm::BuiltInParameter::RBS_DUCT_FLOW_DIRECTION_PARAM;-1140219;Flow Direction
OdBm::BuiltInParameter::RBS_DUCT_FLOW_CONFIGURATION_PARAM;-1140221;Flow Configuration
OdBm::BuiltInParameter::RBS_FLOW_FACTOR_PARAM;-1140222;Flow Factor
OdBm::BuiltInParameter::RBS_ADJUSTABLE_CONNECTOR;-1140223;Allow Slope Adjustments
OdBm::BuiltInParameter::RBS_CURVE_SLOPE;-1140224;Slope Percentage (%)
OdBm::BuiltInParameter::RBS_PIPE_DIAMETER_PARAM;-1140225;Diameter
OdBm::BuiltInParameter::RBS_PIPE_ADDITIONAL_FLOW_PARAM;-1140226;Additional Flow
OdBm::BuiltInParameter::RBS_PIPE_VALVE_LOSS_CVFACTOR_PARAM;-1140227;Cv Coefficient
OdBm::BuiltInParameter::RBS_PIPE_FITTING_LOSS_KFACTOR_PARAM;-1140228;K Coefficient
OdBm::BuiltInParameter::RBS_PIPE_FITTING_LOSS_TABLE_PARAM;-1140229;K Coefficient Table
OdBm::BuiltInParameter::RBS_PIPE_FITTING_LOSS_METHOD_PARAM;-1140230;Loss Method
OdBm::BuiltInParameter::RBS_PIPE_TYPE_VALVE_LOSS_CVFACTOR_PARAM;-1140231;Cv Coefficient
OdBm::BuiltInParameter::RBS_PIPE_TYPE_FITTING_LOSS_KFACTOR_PARAM;-1140232;K Coefficient
OdBm::BuiltInParameter::RBS_PIPE_TYPE_FITTING_LOSS_TABLE_PARAM;-1140233;K Coefficient Table
